time_stamp,product_category,total_sales_last_5min
"2018-01-11T11:41:16","Food",6559.45999999984
"2018-01-11T11:41:16","Food",6559.96999999984
"2018-01-11T11:41:16","Food",6560.95999999984
"2018-01-11T11:41:16","Food",6566.94999999984
"2018-01-11T11:41:16","Food",6568.93999999984
"2018-01-11T11:41:17","Home Products",1178.46
"2018-01-11T11:41:17","Food",6574.26999999984
"2018-01-11T11:41:17","Food",6587.25999999984
"2018-01-11T11:41:17","Drinks",4219.46999999996
"2018-01-11T11:41:17","Medical Products",2033.26
"2018-01-11T11:41:17","Food",6565.27999999984
"2018-01-11T11:41:17","Food",6578.26999999984
"2018-01-11T11:41:17","Food",6579.25999999984
"2018-01-11T11:41:18","Food",6585.24999999984
"2018-01-11T11:41:18","Food",6587.73999999984
"2018-01-11T11:41:18","Food",6583.74999999984
"2018-01-11T11:41:18","Food",6590.73999999984
"2018-01-11T11:41:18","Drinks",4191.46999999996
"2018-01-11T11:41:18","Food",6597.72999999984
"2018-01-11T11:41:18","Drinks",4222.45999999996
"2018-01-11T11:41:19","Home Products",1175.07
"2018-01-11T11:41:19","Food",6603.71999999984
"2018-01-11T11:41:19","Others",1055.04
"2018-01-11T11:41:19","Food",6604.70999999984
"2018-01-11T11:41:19","Home Products",1184.06
"2018-01-11T11:41:19","Food",6605.69999999984
"2018-01-11T11:41:19","Food",6586.71999999984
"2018-01-11T11:41:19","Food",6592.70999999984
"2018-01-11T11:41:19","Food",6598.69999999984
"2018-01-11T11:41:20","Drinks",4225.44999999996
"2018-01-11T11:41:20","Drinks",4228.43999999996
"2018-01-11T11:41:20","Food",6605.68999999983
"2018-01-11T11:41:20","Others",1066.03
"2018-01-11T11:41:20","Drinks",4197.44999999996
"2018-01-11T11:41:20","Drinks",4200.43999999996
"2018-01-11T11:41:21","Drinks",4203.42999999996
"2018-01-11T11:41:21","Home Products",1185.66
"2018-01-11T11:41:21","Home Products",1190.65
"2018-01-11T11:41:21","Drinks",4206.41999999996
"2018-01-11T11:41:21","Food",6606.68999999983
"2018-01-11T11:41:21","Others",1077.02
"2018-01-11T11:41:21","Food",6607.67999999983
"2018-01-11T11:41:21","Food",6620.66999999983
"2018-01-11T11:41:21","Drinks",4203.42999999996
"2018-01-11T11:41:21","Food",6609.69999999984
"2018-01-11T11:41:21","Drinks",4206.41999999996
"2018-01-11T11:41:22","Food",6616.68999999983
"2018-01-11T11:41:22","Home Products",1203.64
"2018-01-11T11:41:22","Food",6623.67999999983
"2018-01-11T11:41:22","Food",6614.69999999984
"2018-01-11T11:41:22","Drinks",4166.45999999996
"2018-01-11T11:41:23","Food",6616.68999999983
"2018-01-11T11:41:23","Medical Products",2002.27
"2018-01-11T11:41:23","Food",6629.67999999983
"2018-01-11T11:41:23","Drinks",4197.44999999996
"2018-01-11T11:41:23","Food",6636.66999999983
"2018-01-11T11:41:23","Food",6641.99999999983
"2018-01-11T11:41:23","Medical Products",2012.27
"2018-01-11T11:41:23","Medical Products",2033.26
"2018-01-11T11:41:24","Medical Products",2043.26
"2018-01-11T11:41:24","Food",6606.02999999984
"2018-01-11T11:41:24","Drinks",4169.44999999996
"2018-01-11T11:41:24","Food",6619.01999999984
"2018-01-11T11:41:24","Medical Products",2064.25
"2018-01-11T11:41:24","Home Products",1196.86
"2018-01-11T11:41:25","Drinks",4166.45999999996
"2018-01-11T11:41:25","Medical Products",2085.24
"2018-01-11T11:41:25","Food",6608.53999999984
"2018-01-11T11:41:25","Food",6621.52999999984
"2018-01-11T11:41:25","Food",6627.51999999984
"2018-01-11T11:41:25","Drinks",4101.48999999996
"2018-01-11T11:41:26","Food",6626.51999999984
"2018-01-11T11:41:26","Drinks",4104.47999999996
"2018-01-11T11:41:26","Food",6633.50999999984
"2018-01-11T11:41:26","Medical Products",2085.24
"2018-01-11T11:41:26","Drinks",4107.46999999996
"2018-01-11T11:41:26","Others",1077.02
"2018-01-11T11:41:27","Food",6615.54999999984
"2018-01-11T11:41:27","Drinks",4107.46999999996
"2018-01-11T11:41:27","Home Products",1195.26
"2018-01-11T11:41:27","Home Products",1198.65
"2018-01-11T11:41:27","Food",6622.53999999984
"2018-01-11T11:41:27","Others",1088.01
"2018-01-11T11:41:27","Food",6628.52999999984
"2018-01-11T11:41:27","Drinks",4110.45999999996
"2018-01-11T11:41:27","Home Products",1202.04
"2018-01-11T11:41:27","Drinks",4113.44999999996
"2018-01-11T11:41:27","Food",6625.52999999984
"2018-01-11T11:41:28","Food",6632.51999999984
"2018-01-11T11:41:28","Food",6639.50999999984
"2018-01-11T11:41:28","Drinks",4054.45999999996
"2018-01-11T11:41:28","Medical Products",2074.25
"2018-01-11T11:41:28","Toiletries",288.03
"2018-01-11T11:41:28","Food",6642.99999999984
"2018-01-11T11:41:28","Beauty Products",101.14
"2018-01-11T11:41:29","Drinks",4026.45999999996
"2018-01-11T11:41:29","Food",6618.38999999984
"2018-01-11T11:41:29","Drinks",4029.44999999996
"2018-01-11T11:41:29","Food",6620.37999999984
"2018-01-11T11:41:29","Drinks",4032.43999999996
