[34,38,72,39,41,41,82,244,1329,686],57,66,6021143627.45533
[38,72,39,41,41,82,244,1329,686,526],58,67,54971663034.7712
[72,39,41,41,82,244,1329,686,526,1087],59,68,77643254499.5243
[39,41,41,82,244,1329,686,526,1087,1402],60,69,96099960650.442
[41,41,82,244,1329,686,526,1087,1402,1229],61,70,1127572383969.49
[41,82,244,1329,686,526,1087,1402,1229,595],62,71,1383825236761.6
[82,244,1329,686,526,1087,1402,1229,595,590],63,72,1659581316659.17
[244,1329,686,526,1087,1402,1229,595,590,1142],64,73,1910135434573.3
[1329,686,526,1087,1402,1229,595,590,1142,1083],65,74,2127120445258.92
[686,526,1087,1402,1229,595,590,1142,1083,59],66,75,1792573686259.22
[526,1087,1402,1229,595,590,1142,1083,59,34],67,76,1848997570910.43
[1087,1402,1229,595,590,1142,1083,59,34,31],68,77,2001637407073.33
[1402,1229,595,590,1142,1083,59,34,31,38],69,78,2054017735187.38
[1229,595,590,1142,1083,59,34,31,38,36],70,79,1839708785683.81
[595,590,1142,1083,59,34,31,38,36,34],71,80,1663135154851.77
[590,1142,1083,59,34,31,38,36,34,33],72,81,1489801277424.09
[1142,1083,59,34,31,38,36,34,33,26],73,82,1288967862361.13
[1083,59,34,31,38,36,34,33,26,39],74,83,1119329688178.92
[59,34,31,38,36,34,33,26,39,30],75,84,981166318429.138
[34,31,38,36,34,33,26,39,30,44],76,85,587271925384.725
[31,38,36,34,33,26,39,30,44,34],77,86,296537519190.035
[38,36,34,33,26,39,30,44,34,26],78,87,96810630358.324
[36,34,33,26,39,30,44,34,26,38],79,88,9518078153.30631
[37,46,34,40,33,46,31,380,1115,334],118,127,8571772901.71794
[46,34,40,33,46,31,380,1115,334,1040],119,128,132964003478.456
[34,40,33,46,31,380,1115,334,1040,1128],120,129,270982752642.518
[40,33,46,31,380,1115,334,1040,1128,783],121,130,477671462963.344
[33,46,31,380,1115,334,1040,1128,783,470],122,131,768592915026.469
[46,31,380,1115,334,1040,1128,783,470,547],123,132,954500507012.964
[31,380,1115,334,1040,1128,783,470,547,1026],124,133,1058762918315.47
[380,1115,334,1040,1128,783,470,547,1026,1340],125,134,1298048560397.52
[1115,334,1040,1128,783,470,547,1026,1340,506],126,135,1460652327342.7
[334,1040,1128,783,470,547,1026,1340,506,414],127,136,1195619260586.88
[1040,1128,783,470,547,1026,1340,506,414,955],128,137,1186206058901.32
[1128,783,470,547,1026,1340,506,414,955,1006],129,138,852604789967.718
[783,470,547,1026,1340,506,414,955,1006,419],130,139,648939790149.578
[470,547,1026,1340,506,414,955,1006,419,1265],131,140,726813810862.145
[547,1026,1340,506,414,955,1006,419,1265,1292],132,141,668428271444.096
[1026,1340,506,414,955,1006,419,1265,1292,1456],133,142,683447737180.565
[1340,506,414,955,1006,419,1265,1292,1456,636],134,143,728106099542.394
[506,414,955,1006,419,1265,1292,1456,636,428],135,144,695958675275.77
[414,955,1006,419,1265,1292,1456,636,428,52],136,145,762767327587.842
[955,1006,419,1265,1292,1456,636,428,52,38],137,146,932021923341.637
[1006,419,1265,1292,1456,636,428,52,38,39],138,147,1237081268866.47
[419,1265,1292,1456,636,428,52,38,39,34],139,148,1573481150801.03
[1265,1292,1456,636,428,52,38,39,34,34],140,149,1708358431218.63
[1292,1456,636,428,52,38,39,34,34,31],141,150,1811628781993.18
[1456,636,428,52,38,39,34,34,31,38],142,151,1770816763847.23
[636,428,52,38,39,34,34,31,38,34],143,152,1446723602812.19
[428,52,38,39,34,34,31,38,34,36],144,153,1128982055025.12
[52,38,39,34,34,31,38,34,36,40],145,154,754012442835.003
[38,39,34,34,31,38,34,36,40,37],146,155,300145915656.497
[39,34,34,31,38,34,36,40,37,47],147,156,65952031681.5865
[34,34,31,38,34,36,40,37,47,35],148,157,3569420417.48855
